usname,,,,,,,,,,,
Gasabo,,,,,,,,,,,
Kicukiro,,,,,,,,,,,
Nyarugenge,,,,,,,,,,,
Bugesera,,,,,,,,,,,
Gatsibo,,,,,,,,,,,
Kayonza,,,,,,,,,,,
Kirehe,,,,,,,,,,,
Ngoma,,,,,,,,,,,
Nyagatare,,,,,,,,,,,
Rwamagana,,,,,,,,,,,
Burera,,,,,,,,,,,
Gakenke,,,,,,,,,,,
Gicumbi,,,,,,,,,,,
Musanze,,,,,,,,,,,
 Rulindo,,,,,,,,,,,
Gisagara,,,,,,,,,,,
Huye,,,,,,,,,,,
Kamonyi,,,,,,,,,,,
Muhanga,,,,,,,,,,,
Nyamagabe,,,,,,,,,,,North
Nyanza,,,,,,,,,,,
Nyaruguru,,,,,,,,,,,Burera
Ruhango,,,,,,,,,,,Gakenke
Karongi,,,,,,,,,,,Gicumbi
Ngororero,,,,,,,,,,,Musanze
Nyabihu,,,,,,,,,,, Rulindo
Nyamasheke,,,,,,,,,,,
Rubavu,,,,,,,,,,,
Rusizi,,,,,,,,,,,
Rutsiro,,,,,,,,,,,
